Element	actin cytoskeleton reorganization	angiogenesis	apoptotic cell clearance	apoptotic process	cell motility	cytokine production involved in inflammatory response	endothelial cell proliferation	epithelium regeneration	establishment of cell polarity	fatty acid synthesis	fibroblast migration	gluconeogenese	glycogen synthesis	glycolysis	ketogenic acid synthesis	leukotriene synthesis	lipoxin synthesis	m1 phenotype and behavior	m2 phenotype and behavior	macrophage differentiation	maresin synthesis	monocyte extravasation	myeloid dendritic cell differentiation	natural killer cell chemotaxis	neutrophil chemotaxis	neutrophil extravasation	p38mapk cascade	phagocytosis, engulfment	platelet activation	platelet degranulation	pmn infiltration	positive regulation of acute inflammatory response	positive regulation of vascular permeability	prostaglandin synthesis	protectin synthesis	reactive oxygen species metabolic process	resolvin synthesis	response to endoplasmic reticulum stress	thromboxan synthesis	vasoconstriction	vasodilation
m5620	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
m5787	4	0	2	2	4	2	0	0	4	0	0	0	0	0	0	0	0	0	1	2	0	2	2	0	1	3	1	2	1	0	1	0	4	0	0	0	0	0	0	0	0
m5739	0	3	1	1	0	2	3	3	0	0	3	0	0	0	0	0	0	1	1	0	0	0	0	0	1	1	0	1	0	0	1	0	0	0	0	1	0	1	0	0	0
m6800	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
m6687	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	1	1	0	1	1	1	1	0	1	0	0	0	0	0	0	1	1
m5697	3	3	2	0	3	2	3	3	3	3	3	3	3	3	3	0	0	1	1	4	0	4	4	0	2	2	0	4	2	2	2	0	5	0	0	1	0	1	0	2	2
m5831	2	1	1	0	2	1	1	1	2	0	1	0	0	0	0	0	0	1	1	1	0	1	1	0	1	1	0	1	0	0	1	0	2	0	0	1	0	1	0	0	0
m5919	0	1	2	3	0	3	1	1	0	0	1	0	0	0	0	0	0	2	2	0	0	2	0	0	2	2	0	2	0	0	2	0	0	0	0	2	0	3	0	0	0
m7296	0	1	1	0	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
m7121	1	1	1	1	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0	1	0	1	1	0	1	1	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0
m7389	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	2	2	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0
m6005	1	1	1	1	1	3	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0
m502	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	3	0	0	0	0	0	1	1	0	1	0	0	1	0	0	0	0	3	0	3	0	0	0
m1713	0	0	4	5	0	4	0	0	0	0	0	0	0	0	0	0	0	3	4	1	0	2	1	0	4	4	0	4	1	1	4	1	1	0	0	3	0	3	0	1	1
m2121	1	0	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0	1	1	1	0	1	1	0	1	1	0	1	0	0	1	0	1	0	0	1	0	1	0	0	0
m2197	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	1	0	1	0	0	1	0	0	0	0	1	0	1	0	0	0
m1900	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	1	0	1	0	0	1	0	0	0	0	1	0	1	0	0	0
m1905	0	2	2	1	0	2	2	2	0	0	2	0	0	0	0	0	0	1	1	1	0	1	1	0	2	2	0	2	0	0	2	0	0	0	0	1	0	1	0	0	0
m1206	0	3	1	3	0	1	3	3	0	0	3	0	0	0	0	0	0	1	1	0	0	0	0	0	1	1	0	1	0	0	1	0	0	0	0	1	0	1	0	0	0
m3199	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	1	0	1	0	0	1	0	0	0	0	1	0	1	0	0	0
m2839	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	1	0	1	0	0	1	0	0	0	0	1	0	1	0	0	0
m5517	0	0	1	0	0	1	0	0	0	1	0	1	1	1	1	0	0	1	1	0	0	0	0	0	1	1	0	1	0	0	1	0	0	0	0	1	0	1	0	0	0
m5981	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	1	0	1	0	0	1	0	0	0	0	1	0	1	0	0	0
m2009	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
