Element	autophagosome assembly	autophagosome maturation	autophagosome-lysosome fusion	fabry disease	farber disease	gaucher disease	gm1 gangliosidosis	krabbe disease	negative regulation of autophagy	niemann-pick disease type a/b	phagophore	phagophore assembly site	positive regulation of cell growth	positive regulation of glycolytic process	sialidosis disease	tay-sachs disease	type 1 gd	type 2 gd	type 3 gd
m183	0.166666666666667	0.142857142857143	0.2	0	0.25	0.2	0	0.2	0.142857142857143	0.2	0.2	0.25	0.142857142857143	0.142857142857143	0	0	0.25	0.25	0.25
m184	0.142857142857143	0.125	0.2	0	0.2	0.166666666666667	0	0.166666666666667	0.125	0.166666666666667	0.166666666666667	0.2	0.125	0.125	0	0	0.166666666666667	0.166666666666667	0.166666666666667
m185	0.166666666666667	0.142857142857143	0.25	0	0.2	0.2	0	0.166666666666667	0.166666666666667	0.166666666666667	0.2	0.25	0.166666666666667	0.166666666666667	0	0	0.2	0.2	0.2
m186	0.142857142857143	0.125	0.2	0	0.166666666666667	0.166666666666667	0	0.142857142857143	0.142857142857143	0.142857142857143	0.166666666666667	0.2	0.142857142857143	0.142857142857143	0	0	0.166666666666667	0.166666666666667	0.166666666666667
m187	0.1	0.0909090909090909	0.142857142857143	0	0.142857142857143	0.125	0	0.125	0.0909090909090909	0.125	0.111111111111111	0.125	0.0909090909090909	0.0909090909090909	0	0	0.111111111111111	0.111111111111111	0.111111111111111
m188	0.111111111111111	0.1	0.166666666666667	0	0.166666666666667	0.142857142857143	0	0.142857142857143	0.1	0.142857142857143	0.125	0.142857142857143	0.1	0.1	0	0	0.125	0.125	0.125
m189	0.125	0.111111111111111	0.166666666666667	0	0.142857142857143	0.125	0	0.125	0.111111111111111	0.125	0.142857142857143	0.166666666666667	0.111111111111111	0.111111111111111	0	0	0.142857142857143	0.142857142857143	0.142857142857143
m190	0.142857142857143	0.125	0.2	0	0.142857142857143	0.142857142857143	0	0.125	0.125	0.125	0.166666666666667	0.2	0.125	0.125	0	0	0.166666666666667	0.166666666666667	0.166666666666667
m191	0.166666666666667	0.142857142857143	0.25	0	0.333333333333333	0.333333333333333	0	0.25	0.166666666666667	0.25	0.2	0.25	0.166666666666667	0.166666666666667	0	0	0.25	0.25	0.25
m192	0.125	0.111111111111111	0.142857142857143	0	0.142857142857143	0.142857142857143	0	0.125	0.111111111111111	0.125	0.142857142857143	0.166666666666667	0.111111111111111	0.111111111111111	0	0	0.142857142857143	0.142857142857143	0.142857142857143
m193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m195	0.166666666666667	0.142857142857143	0.2	0	0.166666666666667	0.166666666666667	0	0.142857142857143	0.142857142857143	0.142857142857143	0.2	0.25	0.142857142857143	0.142857142857143	0	0	0.2	0.2	0.2
m194	0.142857142857143	0.125	0.166666666666667	0	0.166666666666667	0.142857142857143	0	0.142857142857143	0.125	0.142857142857143	0.166666666666667	0.2	0.125	0.125	0	0	0.166666666666667	0.166666666666667	0.166666666666667
m196	0.142857142857143	0.125	0.25	0	0.2	0.2	0	0.166666666666667	0.166666666666667	0.166666666666667	0.166666666666667	0.2	0.166666666666667	0.166666666666667	0	0	0.2	0.2	0.2
m198	0.166666666666667	0.142857142857143	0.2	0	0.166666666666667	0.166666666666667	0	0.142857142857143	0.142857142857143	0.142857142857143	0.2	0.25	0.142857142857143	0.142857142857143	0	0	0.166666666666667	0.166666666666667	0.166666666666667
m199	0.166666666666667	0.142857142857143	0.25	0	0.2	0.166666666666667	0	0.166666666666667	0.142857142857143	0.166666666666667	0.2	0.25	0.142857142857143	0.142857142857143	0	0	0.2	0.2	0.2
m200	0.166666666666667	0.142857142857143	0.2	0	0.25	0.2	0	0.2	0.142857142857143	0.2	0.2	0.25	0.142857142857143	0.142857142857143	0	0	0.25	0.25	0.25
m202	0.142857142857143	0.125	0.2	0	0.166666666666667	0.142857142857143	0	0.142857142857143	0.125	0.142857142857143	0.166666666666667	0.2	0.125	0.125	0	0	0.2	0.2	0.2
m201	0.166666666666667	0.142857142857143	0.2	0	0.166666666666667	0.142857142857143	0	0.142857142857143	0.125	0.142857142857143	0.2	0.25	0.125	0.125	0	0	0.166666666666667	0.166666666666667	0.166666666666667
m203	0.142857142857143	0.125	0.2	0	0.2	0.2	0	0.166666666666667	0.142857142857143	0.166666666666667	0.166666666666667	0.2	0.142857142857143	0.142857142857143	0	0	0.2	0.2	0.2
m204	0.142857142857143	0.125	0.2	0	0.2	0.2	0	0.166666666666667	0.142857142857143	0.166666666666667	0.166666666666667	0.2	0.142857142857143	0.142857142857143	0	0	0.2	0.2	0.2
m205	0.125	0.111111111111111	0.166666666666667	0	0.2	0.2	0	0.166666666666667	0.125	0.166666666666667	0.142857142857143	0.166666666666667	0.125	0.125	0	0	0.166666666666667	0.166666666666667	0.166666666666667
m206	0.142857142857143	0.125	0.2	0	0.2	0.166666666666667	0	0.166666666666667	0.142857142857143	0.166666666666667	0.166666666666667	0.2	0.142857142857143	0.142857142857143	0	0	0.2	0.2	0.2
m207	0.142857142857143	0.125	0.2	0	0.2	0.166666666666667	0	0.166666666666667	0.142857142857143	0.166666666666667	0.166666666666667	0.2	0.142857142857143	0.142857142857143	0	0	0.2	0.2	0.2
m210	0.142857142857143	0.125	0.166666666666667	0	0.166666666666667	0.142857142857143	0	0.142857142857143	0.125	0.142857142857143	0.166666666666667	0.2	0.125	0.125	0	0	0.166666666666667	0.166666666666667	0.166666666666667
m209	0.142857142857143	0.125	0.166666666666667	0	0.142857142857143	0.142857142857143	0	0.125	0.125	0.125	0.166666666666667	0.2	0.125	0.125	0	0	0.166666666666667	0.166666666666667	0.166666666666667
m211	0.142857142857143	0.125	0.2	0	0.166666666666667	0.166666666666667	0	0.142857142857143	0.142857142857143	0.142857142857143	0.166666666666667	0.2	0.142857142857143	0.142857142857143	0	0	0.2	0.2	0.2
m212	0.125	0.111111111111111	0.166666666666667	0	0.142857142857143	0.142857142857143	0	0.125	0.125	0.125	0.142857142857143	0.166666666666667	0.125	0.125	0	0	0.166666666666667	0.166666666666667	0.166666666666667
m214	0.142857142857143	0.125	0.2	0	0.25	0.25	0	0.2	0.142857142857143	0.2	0.166666666666667	0.2	0.142857142857143	0.142857142857143	0	0	0.2	0.2	0.2
