Element	autophagosome assembly	autophagosome maturation	autophagosome-lysosome fusion	cheparon mediated autophagy	er stress	fabry disease	farber disease	gaucher disease	gaucher disease type-1	gaucher disease type-2	gaucher disease type-3	gm1 gangliosidosis	krabbe disease	macroautophagy	mitochondrial dysfunction	negative regulation of autophagy	niemann-pick disease type a/b	phagophore	phagophore assembly site	positive regulation of cell growth	positive regulation of glycolytic process	sialidosis disease	tay-sachs disease	ubiquitin-dependent proteasomal degradation	unfolded protein response
m689	0	0	5	0	0	0	5	5	0	0	0	0	5	2	3	0	5	0	0	0	0	0	0	0	0
m690	0	0	21	0	0	0	31	29	0	0	0	0	31	24	26	0	31	0	0	0	0	0	0	0	0
m696	0	0	4	0	0	0	7	6	0	0	0	0	7	0	7	0	7	0	0	0	0	0	0	0	0
m697	0	0	7	0	0	0	10	10	0	0	0	0	10	7	7	0	10	0	0	0	0	0	0	0	0
m700	0	0	63	0	0	0	86	76	0	0	0	0	86	0	78	0	86	0	0	0	0	0	0	0	0
m721	0	0	6	0	2	0	7	0	0	0	0	0	7	2	4	4	7	0	0	4	4	0	0	0	2
m722	0	0	9	0	0	0	11	10	0	0	0	0	11	0	8	0	11	0	0	0	0	0	0	8	0
m725	0	0	25	0	0	0	36	32	0	0	0	0	36	0	29	0	36	0	0	0	0	0	0	13	0
m728	0	0	0	0	0	0	24	21	0	0	0	0	24	19	17	0	24	0	0	0	0	0	0	0	0
m729	0	0	4	0	0	0	5	5	0	0	0	0	5	0	0	2	5	0	0	2	2	0	0	0	0
m638	0	0	0	0	0	0	51	45	0	0	0	0	51	38	0	0	51	0	0	0	0	0	0	0	0
m741	0	0	19	0	0	0	25	24	0	0	0	0	25	0	0	14	25	0	0	14	14	0	0	0	0
m742	0	0	3	0	1	0	3	0	0	0	0	0	3	0	1	2	3	0	0	2	2	0	0	0	1
m743	0	0	9	4	5	0	10	0	0	0	0	0	10	6	10	0	10	0	0	0	0	0	0	0	5
m757	0	0	2	0	0	0	2	2	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0
m758	0	0	6	0	0	0	7	7	0	0	0	0	7	0	0	0	7	0	0	0	0	0	0	0	0
m759	0	0	0	1	0	0	2	2	0	0	0	0	2	1	2	2	2	0	0	2	2	0	0	0	0
m782	0	0	2	0	0	0	2	2	0	0	0	0	2	1	1	1	2	0	0	1	1	0	0	0	0
m787	0	0	13	0	0	0	21	18	0	0	0	0	21	16	18	9	21	0	0	9	9	0	0	0	0
m788	0	0	8	8	7	0	11	0	0	0	0	0	11	10	8	0	11	0	0	0	0	0	0	0	7
m810	0	0	12	0	0	0	16	15	0	0	0	0	16	0	15	0	16	0	0	0	0	0	0	7	0
m811	0	0	7	0	0	0	10	9	0	0	0	0	10	6	9	0	10	0	0	0	0	0	0	0	0
m845	0	0	6	0	0	0	13	11	0	0	0	0	13	10	13	0	13	0	0	0	0	0	0	0	0
m846	0	0	11	0	0	0	12	12	0	0	0	0	12	0	8	0	12	0	0	0	0	0	0	6	0
m868	0	0	14	0	0	0	18	17	0	0	0	0	18	13	11	0	18	0	0	0	0	0	0	0	0
m876	0	0	0	0	0	0	4	3	0	0	0	0	4	4	4	0	4	0	0	0	0	0	0	2	0
m882	0	0	13	7	0	0	29	27	0	0	0	0	29	25	26	0	29	0	0	0	0	0	0	19	0
m884	0	0	3	0	0	0	4	3	0	0	0	0	4	3	3	0	4	0	0	0	0	0	0	0	0
m687	0	0	0	1	1	0	9	0	0	0	0	0	9	10	8	0	9	0	0	0	0	0	0	0	2
m889	0	0	1	0	0	0	1	1	0	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0
m893	0	0	16	0	6	0	18	0	0	0	0	0	18	0	13	12	18	0	0	12	12	0	0	0	11
m901	0	0	7	0	0	0	9	8	0	0	0	0	9	0	0	0	9	0	0	0	0	0	0	0	0
m902	0	0	8	0	0	0	11	10	0	0	0	0	11	0	6	0	11	0	0	0	0	0	0	2	0
m903	0	0	6	0	0	0	8	6	0	0	0	0	8	0	6	0	8	0	0	0	0	0	0	4	0
m920	0	0	12	0	4	0	14	0	0	0	0	0	14	4	11	8	14	0	0	8	8	0	0	0	4
m921	0	0	3	0	0	0	6	3	0	0	0	0	6	0	0	0	6	0	0	0	0	0	0	0	0
m930	0	0	8	0	4	0	9	0	0	0	0	0	9	0	8	3	9	0	0	3	3	0	0	0	4
m933	0	0	11	0	0	0	12	11	0	0	0	0	12	0	6	4	12	0	0	4	4	0	0	0	0
m956	0	0	0	0	0	0	3	2	0	0	0	0	3	0	3	2	3	0	0	2	2	0	0	0	0
m962	0	0	0	0	0	0	3	2	0	0	0	0	3	0	3	1	3	0	0	1	1	0	0	0	0
m966	0	0	15	0	0	0	18	17	0	0	0	0	18	10	0	10	18	0	0	10	10	0	0	0	0
m970	0	0	3	0	0	0	5	4	0	0	0	0	5	0	0	0	5	0	0	0	0	0	0	0	0
m972	0	0	3	0	0	0	4	3	0	0	0	0	4	4	4	2	4	0	0	2	2	0	0	0	0
m985	0	0	35	0	0	0	46	40	0	0	0	0	46	0	35	0	46	0	0	0	0	0	0	16	0
m986	0	0	0	0	0	0	40	37	0	0	0	0	40	30	31	0	40	0	0	0	0	0	0	17	0
m997	0	0	5	0	0	0	7	6	0	0	0	0	7	0	0	3	7	0	0	3	3	0	0	0	0
m1011	0	0	59	0	0	0	75	72	0	0	0	0	75	0	62	0	75	0	0	0	0	0	0	34	0
m1012	0	0	0	0	1	0	3	3	0	0	0	0	3	1	3	0	3	0	0	0	0	0	0	3	1
m1013	0	0	16	0	0	0	20	18	0	0	0	0	20	0	0	9	20	0	0	9	9	0	0	0	0
m1014	0	0	12	0	0	0	14	13	0	0	0	0	14	0	11	0	14	0	0	0	0	0	0	6	0
m1016	0	0	12	0	0	0	16	12	0	0	0	0	16	13	13	0	16	0	0	0	0	0	0	0	0
m748	0	0	0	6	0	0	11	11	0	0	0	0	11	8	7	0	11	0	0	0	0	0	0	2	0
m1020	0	0	3	0	1	0	5	0	0	0	0	0	5	2	0	0	5	0	0	0	0	0	0	0	1
m1040	0	0	4	0	0	0	4	4	0	0	0	0	4	0	0	0	4	0	0	0	0	0	0	0	0
m1050	0	0	0	0	0	0	63	58	0	0	0	0	63	44	56	0	63	0	0	0	0	0	0	0	0
m1054	0	0	37	0	0	0	55	49	0	0	0	0	55	35	43	0	55	0	0	0	0	0	0	26	0
m1055	0	0	0	0	9	0	24	20	0	0	0	0	24	20	19	0	24	0	0	0	0	0	0	7	9
m1060	0	0	7	0	0	0	10	7	0	0	0	0	10	0	0	0	10	0	0	0	0	0	0	0	0
m1063	0	0	0	0	0	0	25	23	0	0	0	0	25	16	21	0	25	0	0	0	0	0	0	0	0
m1073	0	0	0	0	0	0	1	1	0	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0
m703	0	0	22	0	15	0	35	0	0	0	0	0	35	20	0	19	35	0	0	19	19	0	0	0	15
m1087	0	0	3	0	2	0	4	0	0	0	0	0	4	2	0	0	4	0	0	0	0	0	0	0	2
m1111	0	0	1	0	0	0	1	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
m1112	0	0	6	0	0	0	6	6	0	0	0	0	6	6	6	0	6	0	0	0	0	0	0	0	0
m1117	0	0	13	8	8	0	17	17	0	0	0	0	17	11	0	7	17	0	0	7	7	0	0	0	8
m1120	0	0	0	0	5	0	6	5	0	0	0	0	6	7	5	0	6	0	0	0	0	0	0	4	5
m775	0	0	0	0	0	0	21	17	0	0	0	0	21	14	18	9	21	0	0	9	9	0	0	0	0
m1136	0	0	0	0	0	0	10	10	0	0	0	0	10	0	0	4	10	0	0	4	4	0	0	0	0
m1139	0	0	1	0	0	0	1	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
m1140	0	0	5	0	0	0	7	7	0	0	0	0	7	0	0	0	7	0	0	0	0	0	0	0	0
m1170	0	0	4	0	2	0	5	0	0	0	0	0	5	4	4	2	5	0	0	2	2	0	0	0	2
m1171	0	0	16	0	0	0	22	21	0	0	0	0	22	0	0	0	22	0	0	0	0	0	0	0	0
m1172	0	0	0	0	0	0	3	3	0	0	0	0	3	3	0	0	3	0	0	0	0	0	0	0	0
m1184	0	0	2	2	0	0	3	3	0	0	0	0	3	2	3	0	3	0	0	0	0	0	0	1	0
m1186	0	0	6	0	0	0	7	7	0	0	0	0	7	5	5	0	7	0	0	0	0	0	0	0	0
m1187	0	0	0	17	15	0	32	30	0	0	0	0	32	28	22	0	32	0	0	0	0	0	0	0	15
m1215	0	0	0	0	2	0	10	0	0	0	0	0	10	0	9	0	10	0	0	0	0	0	0	5	3
m1218	0	0	2	0	0	0	3	3	0	0	0	0	3	0	3	0	3	0	0	0	0	0	0	1	0
m1221	0	0	4	2	2	0	5	3	0	0	0	0	5	5	5	4	5	0	0	4	4	0	0	0	3
m1222	0	0	3	0	3	0	3	0	0	0	0	0	3	3	3	3	3	0	0	3	3	0	0	0	3
m1232	0	0	2	0	1	0	3	0	0	0	0	0	3	1	2	3	3	0	0	3	3	0	0	0	1
m1233	0	0	1	0	1	0	2	0	0	0	0	0	2	2	2	2	2	0	0	2	2	0	0	0	1
m1235	0	0	1	0	1	0	1	0	0	0	0	0	1	0	1	1	1	0	0	1	1	0	0	0	1
m1236	0	0	2	0	2	0	2	0	0	0	0	0	2	1	2	2	2	0	0	2	2	0	0	0	2
m1264	0	0	2	0	0	0	3	3	0	0	0	0	3	0	0	0	3	0	0	0	0	0	0	0	0
m1278	0	0	12	0	0	0	16	15	0	0	0	0	16	13	14	0	16	0	0	0	0	0	0	0	0
m1292	0	0	1	0	0	0	1	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
m1297	0	0	0	0	0	0	1	1	0	0	0	0	1	1	1	1	1	0	0	1	1	0	0	0	0
m1300	0	0	0	0	0	0	1	1	0	0	0	0	1	1	0	1	1	0	0	1	1	0	0	0	0
m1303	0	0	0	0	0	0	9	8	0	0	0	0	9	5	0	3	9	0	0	3	3	0	0	0	0
m1313	0	0	3	0	0	0	3	3	0	0	0	0	3	0	0	2	3	0	0	2	2	0	0	0	0
m1315	0	0	3	0	0	0	3	3	0	0	0	0	3	0	0	0	3	0	0	0	0	0	0	0	0
m1327	0	0	2	0	0	0	2	2	0	0	0	0	2	2	2	0	2	0	0	0	0	0	0	0	0
m1335	0	0	6	0	0	0	8	8	0	0	0	0	8	0	6	6	8	0	0	6	6	0	0	0	0
m1336	0	0	9	0	4	0	12	0	0	0	0	0	12	9	12	7	12	0	0	7	7	0	0	0	4
m1340	0	0	22	0	0	0	22	19	0	0	0	0	22	0	0	11	22	0	0	11	11	0	0	0	0
m1341	0	0	49	0	0	0	60	56	0	0	0	0	60	0	52	0	60	0	0	0	0	0	0	28	0
m1342	0	0	6	0	0	0	9	7	0	0	0	0	9	0	0	0	9	0	0	0	0	0	0	0	0
m1345	0	0	3	0	0	0	3	3	0	0	0	0	3	0	0	0	3	0	0	0	0	0	0	0	0
m1346	0	0	4	0	0	0	5	4	0	0	0	0	5	5	5	0	5	0	0	0	0	0	0	3	0
m1347	0	0	2	0	0	0	2	2	0	0	0	0	2	0	0	2	2	0	0	2	2	0	0	0	0
m1350	0	0	0	0	0	0	1	1	0	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0
m1351	0	0	0	0	0	0	5	4	0	0	0	0	5	4	3	0	5	0	0	0	0	0	0	0	0
m1352	0	0	6	0	0	0	12	12	0	0	0	0	12	0	7	0	12	0	0	0	0	0	0	3	0
m1376	0	0	0	0	0	0	8	7	0	0	0	0	8	6	6	0	8	0	0	0	0	0	0	3	0
m175	0	0	8	0	0	0	10	7	0	0	0	0	10	0	10	0	10	0	0	0	0	0	0	0	0
m1383	0	0	3	0	0	0	3	3	0	0	0	0	3	0	3	0	3	0	0	0	0	0	0	2	0
m1386	0	0	11	0	2	0	13	0	0	0	0	0	13	3	11	5	13	0	0	5	5	0	0	0	2
m774	0	0	25	0	0	0	35	29	0	0	0	0	35	26	0	0	35	0	0	0	0	0	0	0	0
m1393	0	0	2	0	0	0	2	2	0	0	0	0	2	1	2	0	2	0	0	0	0	0	0	0	0
m1399	0	0	0	0	3	0	5	4	0	0	0	0	5	5	4	4	5	0	0	4	4	0	0	0	3
m1400	0	0	4	0	5	0	7	7	0	0	0	0	7	6	5	5	7	0	0	5	5	0	0	0	5
m1401	0	0	23	0	0	0	33	30	0	0	0	0	33	0	0	0	33	0	0	0	0	0	0	0	0
m1430	0	0	9	0	0	0	10	6	0	0	0	0	10	0	8	0	10	0	0	0	0	0	0	5	0
m1431	0	0	7	0	0	0	10	10	0	0	0	0	10	5	7	0	10	0	0	0	0	0	0	5	0
